Price,Close,High,Low,Open,Volume
Ticker,URTH,URTH,URTH,URTH,URTH
Datetime,,,,,
2025-01-02 14:30:00+00:00,156.0500030517578,156.75,155.7100067138672,156.3300018310547,203754
2025-01-02 15:30:00+00:00,155.89999389648438,156.3000030517578,155.44000244140625,156.02000427246094,154571
2025-01-02 16:30:00+00:00,155.15750122070312,156.1699981689453,155.15750122070312,155.88499450683594,110891
2025-01-02 17:30:00+00:00,154.6699981689453,155.1199951171875,154.41000366210938,155.0800018310547,140400
2025-01-02 18:30:00+00:00,154.88999938964844,154.94000244140625,154.27000427246094,154.6699981689453,120407
2025-01-02 19:30:00+00:00,155.19000244140625,155.22999572753906,154.60000610351562,154.8800048828125,118549
2025-01-02 20:30:00+00:00,155.25999450683594,155.3699951171875,154.96499633789062,155.17999267578125,94743
2025-01-03 14:30:00+00:00,156.0399932861328,156.33990478515625,155.6199951171875,156.02999877929688,49690
2025-01-03 15:30:00+00:00,156.33999633789062,156.3699951171875,155.94000244140625,155.97000122070312,23773
2025-01-03 16:30:00+00:00,156.52999877929688,156.67999267578125,156.40499877929688,156.41000366210938,13646
2025-01-03 17:30:00+00:00,156.6999969482422,156.6999969482422,156.46249389648438,156.52000427246094,22169
2025-01-03 18:30:00+00:00,156.89999389648438,156.9499969482422,156.6699981689453,156.77000427246094,26999
2025-01-03 19:30:00+00:00,156.89999389648438,157.0399932861328,156.8300018310547,156.91000366210938,20349
2025-01-03 20:30:00+00:00,156.88999938964844,156.91000366210938,156.67999267578125,156.83999633789062,18570
2025-01-06 14:30:00+00:00,158.67999267578125,158.7050018310547,158.02349853515625,158.07000732421875,77577
2025-01-06 15:30:00+00:00,158.99000549316406,158.99000549316406,158.5850067138672,158.71429443359375,70213
2025-01-06 16:30:00+00:00,158.75999450683594,159.09669494628906,158.6999969482422,159.00729370117188,0
2025-01-06 17:30:00+00:00,158.44000244140625,158.77000427246094,158.30999755859375,158.72000122070312,285874
2025-01-06 18:30:00+00:00,158.0500030517578,158.3800048828125,157.89999389648438,158.33999633789062,23796
2025-01-06 19:30:00+00:00,157.89500427246094,158.05999755859375,157.7100067138672,158.00999450683594,28159
2025-01-06 20:30:00+00:00,157.9149932861328,158.0,157.55999755859375,157.89500427246094,58388
2025-01-07 14:30:00+00:00,157.7899932861328,158.82000732421875,157.3000030517578,158.6699981689453,93575
2025-01-07 15:30:00+00:00,157.63999938964844,157.72999572753906,156.97000122070312,157.69000244140625,18555
2025-01-07 16:30:00+00:00,157.0399932861328,157.710693359375,157.00999450683594,157.4499969482422,28104
2025-01-07 17:30:00+00:00,157.50999450683594,157.50999450683594,156.8699951171875,157.25999450683594,9364
2025-01-07 18:30:00+00:00,157.08999633789062,157.4499969482422,156.97000122070312,157.4499969482422,30675
2025-01-07 19:30:00+00:00,156.25999450683594,157.0800018310547,156.25999450683594,157.0800018310547,13117
2025-01-07 20:30:00+00:00,156.4199981689453,156.5,156.00999450683594,156.2949981689453,23896
2025-01-08 14:30:00+00:00,155.88999938964844,156.22999572753906,155.7899932861328,156.22999572753906,24345
2025-01-08 15:30:00+00:00,156.2100067138672,156.3300018310547,155.85000610351562,155.86000061035156,3807
2025-01-08 16:30:00+00:00,155.60000610351562,156.57000732421875,155.60000610351562,156.24000549316406,7487
2025-01-08 17:30:00+00:00,156.5500030517578,156.5500030517578,155.55850219726562,155.66009521484375,8377
2025-01-08 18:30:00+00:00,156.7899932861328,156.7899932861328,155.9600067138672,156.4199981689453,15118
2025-01-08 19:30:00+00:00,156.49000549316406,156.6699981689453,156.28160095214844,156.6699981689453,15348
2025-01-08 20:30:00+00:00,156.4949951171875,156.67999267578125,156.3000030517578,156.50999450683594,58849
2025-01-10 14:30:00+00:00,154.63499450683594,155.57000732421875,153.94000244140625,155.4199981689453,116952
2025-01-10 15:30:00+00:00,153.94000244140625,154.8800048828125,153.9199981689453,154.6300048828125,68984
2025-01-10 16:30:00+00:00,154.10000610351562,154.25,153.74000549316406,153.99000549316406,135673
2025-01-10 17:30:00+00:00,154.8350067138672,155.0,154.1199951171875,154.13999938964844,78189
2025-01-10 18:30:00+00:00,154.77000427246094,155.17999267578125,154.52000427246094,154.86500549316406,54468
2025-01-10 19:30:00+00:00,154.2100067138672,154.75,154.13999938964844,154.75,57144
2025-01-10 20:30:00+00:00,154.2100067138672,154.3300018310547,154.05999755859375,154.19000244140625,69930
2025-01-13 14:30:00+00:00,153.07000732421875,153.5399932861328,152.75999450683594,152.85000610351562,67191
2025-01-13 15:30:00+00:00,153.16000366210938,153.6699981689453,153.0,153.0,236420
2025-01-13 16:30:00+00:00,153.50259399414062,153.57989501953125,152.92999267578125,153.16000366210938,43562
2025-01-13 17:30:00+00:00,153.77000427246094,153.82000732421875,153.3699951171875,153.41000366210938,57537
2025-01-13 18:30:00+00:00,153.97500610351562,153.97500610351562,153.6300048828125,153.88999938964844,42851
2025-01-13 19:30:00+00:00,153.86000061035156,154.05999755859375,153.80499267578125,153.94000244140625,22771
2025-01-13 20:30:00+00:00,154.22999572753906,154.27000427246094,153.83999633789062,153.83999633789062,32447
2025-01-14 14:30:00+00:00,154.85000610351562,155.0449981689453,154.3800048828125,154.85000610351562,67617
2025-01-14 15:30:00+00:00,154.4499969482422,154.72000122070312,154.0800018310547,154.61000061035156,16970
2025-01-14 16:30:00+00:00,153.85000610351562,154.3300018310547,153.6199951171875,154.25999450683594,13527
2025-01-14 17:30:00+00:00,154.50999450683594,154.51499938964844,153.80999755859375,153.80999755859375,7497
2025-01-14 18:30:00+00:00,154.8000030517578,154.94500732421875,154.47999572753906,154.47999572753906,13533
2025-01-14 19:30:00+00:00,154.17999267578125,154.9199981689453,153.8300018310547,154.85000610351562,30390
2025-01-14 20:30:00+00:00,154.52999877929688,154.5800018310547,153.97500610351562,154.22000122070312,24444
2025-01-15 14:30:00+00:00,157.17999267578125,157.2899932861328,156.52999877929688,156.8000030517578,77904
2025-01-15 15:30:00+00:00,156.7899932861328,157.2100067138672,156.75,157.19000244140625,42380
2025-01-15 16:30:00+00:00,156.72999572753906,156.83999633789062,156.39999389648438,156.75,29457
2025-01-15 17:30:00+00:00,157.00999450683594,157.02879333496094,156.69000244140625,156.75999450683594,12044
2025-01-15 18:30:00+00:00,157.22999572753906,157.22999572753906,156.9600067138672,157.0500030517578,21503
2025-01-15 19:30:00+00:00,157.39999389648438,157.39999389648438,157.1739959716797,157.25,8583
2025-01-15 20:30:00+00:00,157.13999938964844,157.3800048828125,157.07000732421875,157.29299926757812,28818
2025-01-16 14:30:00+00:00,157.1199951171875,157.8800048828125,156.8699951171875,157.4499969482422,212874
2025-01-16 15:30:00+00:00,157.49000549316406,157.6699981689453,157.10000610351562,157.16000366210938,16233
2025-01-16 16:30:00+00:00,157.64999389648438,157.64999389648438,157.25,157.5,12256
2025-01-16 17:30:00+00:00,157.2949981689453,157.61000061035156,157.2949981689453,157.58999633789062,32491
2025-01-16 18:30:00+00:00,157.32000732421875,157.34820556640625,156.99000549316406,157.23500061035156,76401
2025-01-16 19:30:00+00:00,157.25999450683594,157.53529357910156,157.22000122070312,157.27999877929688,25752
2025-01-16 20:30:00+00:00,157.1300048828125,157.4600067138672,157.0800018310547,157.36000061035156,16634
2025-01-17 14:30:00+00:00,158.44090270996094,158.65220642089844,158.08999633789062,158.42999267578125,59278
2025-01-17 15:30:00+00:00,158.8000030517578,158.86000061035156,158.49000549316406,158.5,34807
2025-01-17 16:30:00+00:00,158.8000030517578,158.82000732421875,158.58999633789062,158.8000030517578,6161
2025-01-17 17:30:00+00:00,158.77999877929688,158.85000610351562,158.69000244140625,158.7899932861328,5058
2025-01-17 18:30:00+00:00,158.64999389648438,158.7899932861328,158.57000732421875,158.74000549316406,15097
2025-01-17 19:30:00+00:00,158.5800018310547,158.67999267578125,158.4199981689453,158.5800018310547,21716
2025-01-17 20:30:00+00:00,158.4199981689453,158.63999938964844,158.38999938964844,158.57000732421875,33926
2025-01-21 14:30:00+00:00,159.5800018310547,159.74000549316406,159.11000061035156,159.6199951171875,44424
2025-01-21 15:30:00+00:00,159.77999877929688,159.80999755859375,159.44509887695312,159.4801025390625,38738
2025-01-21 16:30:00+00:00,160.0399932861328,160.07000732421875,159.69000244140625,159.8800048828125,101535
2025-01-21 17:30:00+00:00,160.17999267578125,160.27000427246094,160.02999877929688,160.05999755859375,31331
2025-01-21 18:30:00+00:00,160.1824951171875,160.3000030517578,160.05999755859375,160.23899841308594,17033
2025-01-21 19:30:00+00:00,160.24000549316406,160.24000549316406,159.97000122070312,160.14999389648438,157371
2025-01-21 20:30:00+00:00,160.30999755859375,160.32000732421875,160.10000610351562,160.22999572753906,70376
