date,trade_policy_sentiment,geopolitics_sentiment,domestic_politics_sentiment
2025-01-01,-0.13395,0.29294444444444445,0.054508333333333325
2025-01-02,-0.2716363636363636,-0.56418,-0.4886857142857143
2025-01-03,-0.21151999999999999,-0.16024,-0.26625333333333334
2025-01-04,-0.031366666666666654,-0.28197777777777777,0.10583333333333333
2025-01-05,0.3284875,0.29867999999999995,0.07994666666666665
2025-01-06,0.12833333333333333,-0.1270111111111111,0.002048571428571425
2025-01-07,-0.08791428571428574,0.22792941176470588,0.0716896551724138
2025-01-08,-0.1376,-0.10026399999999999,-0.09083636363636363
2025-01-09,-0.028799999999999996,-0.062496774193548384,-0.0443551724137931
2025-01-10,-0.13492222222222225,-0.4192266666666667,-0.32123030303030303
2025-01-11,-0.18495,0.07651000000000001,-0.014731818181818174
2025-01-12,-0.3550333333333333,-0.171,-0.15659285714285717
2025-01-13,-0.2466583333333333,-0.11427222222222223,0.013083333333333336
2025-01-14,-0.6561571428571428,-0.33575714285714287,-0.16167826086956522
2025-01-15,-0.13962999999999998,-0.16825652173913044,-0.15777999999999998
2025-01-16,0.3673461538461539,-0.01221190476190476,-0.013241025641025635
2025-01-17,0.28723333333333334,0.10525000000000001,0.05805277777777778
2025-01-18,-0.041791666666666664,-0.09203333333333334,-0.1511111111111111
2025-01-19,-0.1489,-0.2622037037037037,-0.029510344827586216
2025-01-20,0.09322692307692307,0.09887500000000002,0.16558775510204085
2025-01-21,0.11278333333333333,0.03941590909090909,0.03946461538461538
2025-01-22,-0.18883846153846154,-0.1325103448275862,-0.030651111111111115
2025-01-23,-0.054620689655172416,-0.0737421052631579,-0.03562391304347826
2025-01-24,-0.025696000000000004,-0.11072666666666667,-0.16615789473684212
2025-01-25,0.232175,0.239145,0.21389523809523808
2025-01-26,0.25084761904761904,0.0351125,0.07219393939393938
2025-01-27,0.024036363636363633,0.006479310344827579,-0.05771176470588236
2025-01-28,0.18780769230769231,0.10782352941176472,0.05802333333333333
2025-01-29,-0.10310714285714286,0.01380357142857143,0.08393953488372093
2025-01-30,0.027999999999999994,-0.32332692307692307,-0.19050238095238092
