date,msci_world_3d_return,gold_3d_return,bitcoin_3d_return
2025-01-01,,,4.037581653254909
2025-01-02,0.7471362251389885,-0.9733817172487709,1.4899647657743744
2025-01-03,-0.2517714793789462,0.4222253924280146,4.206659574749355
2025-01-04,,,-1.3439994784073772
2025-01-05,,0.9647216073829534,-3.3374316254926435
2025-01-06,-2.346190501083329,1.8222354312634008,-9.535859806718237
2025-01-07,-1.4000782937235963,1.9933873617498057,-2.322057552036488
2025-01-08,-1.2556288694211497,1.5639051675127116,-0.5083887221798051
2025-01-09,,-0.27104476648642645,2.1748165864664526
2025-01-10,1.9000016524334755,-0.920166399153447,-0.11922722605275783
2025-01-11,,,2.10502154868451
2025-01-12,,0.0918746062356659,6.308046671899175
2025-01-13,1.8803146181736012,2.1965748324646315,5.79190129253676
2025-01-14,2.517310179497393,1.7794178172327246,7.895099067142122
2025-01-15,2.0173082482232307,0.4662928005768445,3.915443736990927
2025-01-16,2.377012979244241,0.09107468123861566,0.9184165092582688
2025-01-17,2.158817200147984,0.6788763115607864,-2.002438370617634
2025-01-18,,,1.7325341593011756
2025-01-19,,0.9903831097481818,2.675594548625248
2025-01-20,,0.5350300699499545,1.9425172726068398
2025-01-21,0.8795481776450123,0.6888051287942741,-1.2746174735065312
2025-01-22,-0.5221841718181421,0.33293029013632613,0.9899320261043874
2025-01-23,-0.4572356964406026,-0.6082126249042004,-1.4601002768852815
2025-01-24,-0.7358412270738395,-0.27363195012759056,-2.5722961344094966
2025-01-25,,,-3.218026914382499
2025-01-26,,0.03606722804508756,1.16092485746423
2025-01-27,0.9717281636493628,4.050418855831105,2.5507601226157686
2025-01-28,-0.3041623057724821,2.2275958583356816,1.0495833085644626
2025-01-29,-0.7786706593815842,2.1812805692905677,-2.9804546682462973
2025-01-30,-0.5941370856468701,-0.24155101338953086,-6.745512119669152
2025-01-31,0.6027036396596267,1.430337277061628,-0.9647689893185882
2025-02-01,,,-2.739368527341599
2025-02-02,,1.803036299172484,-1.0881195091961342
2025-02-03,1.7641873305683324,1.1159086701407965,-4.722157762075184
2025-02-04,0.01245440983007283,0.49095047549616994,-1.4082697237572588
2025-02-05,0.14358057699673704,0.24954773650784973,-0.1190149485492208
2025-02-06,-0.0987128544168966,2.1412441843440915,-0.11331255545648107
2025-02-07,0.7034392972522117,1.4102058069616747,0.9589892747656259
2025-02-08,,,-0.7919039136184305
2025-02-09,,1.2826752492346338,1.4107399973414645
2025-02-10,1.0877014969286276,0.506256684274621,-0.8202011373864168
2025-02-11,1.043662396002203,-1.1309312937008833,1.8628271306280129
2025-02-12,1.4650399051704532,-1.2664310515873016,-0.29343183046444743
2025-02-13,0.2873301588734934,-2.177078001363114,-0.44852235978431415
2025-02-14,0.061120954956635276,2.0596502284942666,-1.8034142160200592
2025-02-15,,,-2.1061439346071453
2025-02-16,,2.026002614948423,0.4516638400286378
2025-02-17,,2.2151604775156835,2.685353163466275
2025-02-18,-1.772879050158505,-0.12528192566627788,0.6392270422669755
2025-02-19,-2.060466814411389,-0.033886818027787195,-0.05778766847696429
2025-02-20,-2.0095336674758335,0.2772314232371389,-2.0945968062026443
2025-02-21,-0.42175320585529424,-0.6102522173871227,-4.932163211372038
2025-02-22,,,-8.157302463713592
2025-02-23,,-0.5457660222457628,-12.758658296532364
2025-02-24,-1.605876865583045,-2.690493891710216,-7.253789721186417
2025-02-25,-0.23062714833830134,-2.19334311250472,-4.879148869832202
2025-02-26,-1.43257739522829,-1.7519310151886611,2.436047747294833
2025-02-27,-0.7021764913299133,0.5301104943166799,11.187793669549059
2025-02-28,-0.5747833206160867,2.0297823799661816,1.946569006268036
2025-03-01,,,1.4148164969882655
2025-03-02,,1.5542081119904596,-3.8804071510476406
2025-03-03,-1.118486112139613,0.5376563038514561,4.605870554684285
2025-03-04,0.3886096742102262,-0.27345752862758504,-0.5864586176047354
2025-03-05,-3.5628994537460885,-0.1024835155248598,-4.910166544593586
2025-03-06,-2.620137370060652,-0.9598573604826471,-10.370817173461772
2025-03-07,-2.7858861141244695,0.1645260952227935,-9.311460639589503
2025-03-08,,,-3.8400334332351966
2025-03-09,,0.7146976026665035,3.84406995671613
2025-03-10,-1.4139559208217296,3.79356373303011,3.060256929976958
2025-03-11,1.3715686250948291,2.44327759472824,1.3832454347204017
2025-03-12,1.6972327196881107,1.792749209000775,0.7027595624388153
2025-03-13,2.1877048855454695,0.34014577443431504,1.8839301742867642
2025-03-14,0.9969529837269219,1.4864549128439077,0.1364633289572784
2025-03-15,,,-1.9189469576044536
2025-03-16,,2.054706392803536,5.083988489739364
2025-03-17,-0.3273602470084535,1.495563211157265,0.18732679076896236
2025-03-18,0.446285776264367,-0.32914226057250984,1.59006862816027
2025-03-19,0.8332819034237258,-0.9543794738033989,-3.446277169946054
2025-03-20,1.6164313025294725,-1.29342811693616,2.009135367060139
2025-03-21,0.32839310805806515,-0.09576323857438061,4.07147176936697
2025-03-22,,,4.393395183806422
2025-03-23,,-0.1781910809716449,1.1214889385070017
2025-03-24,-1.1505928336942313,1.817942230741083,-0.30785948414821135
2025-03-25,-3.105389508191965,3.0575479624188233,-3.5965941261650576
2025-03-26,-1.716836591793061,3.2561983471074383,-4.940281555174108
2025-03-27,-1.2604544783711817,2.818324038059911,-5.586451708062095
2025-03-28,1.1315296843779001,0.9269325130266929,-2.143366045665863
2025-03-29,,,3.1179661218260843
2025-03-30,,2.074597369237234,0.34751684196739235
2025-03-31,-3.176929120637953,-0.6781348884517081,0.68647869067957
2025-04-01,-9.313526389388135,-2.879202177566512,-1.5814856897609504
2025-04-02,-10.723064516001696,-5.419817651467229,1.0457310484124585
2025-04-03,-7.958456000361427,-4.434801960073042,-6.036414530277303
2025-04-04,6.614472200326283,-2.1039902743184777,-5.6176969427257495
2025-04-05,,,-8.629327969726372
2025-04-06,,2.841981468143757,5.68438119538953
2025-04-07,4.411773321414293,7.137850811032159,0.5391502176701397
2025-04-08,7.7049895915537405,8.794031994841369,9.405902152301868
2025-04-09,-0.16166402109032968,4.498258809377513,3.3252018813066755
2025-04-10,3.0597295871223573,0.6138777405623077,5.206379332303518
2025-04-11,-0.6497274055781652,0.4393391273823195,1.2991112315066964
2025-04-12,,,-1.92736134449778
2025-04-13,,3.8016463427082927,0.3975769423294092
2025-04-14,-1.025574660012966,3.484266547903183,0.44799811875176143
2025-04-15,-3.1641289623519615,2.8325002764990446,0.9729363626172416
2025-04-16,0.8765313908078621,2.4198147640380316,1.262195303917251
2025-04-17,1.7792627765440927,0.14664658283138968,0.26958220969069596
2025-04-18,,,3.6443566373907608
2025-04-19,,,9.850164313850241
2025-04-20,,-1.0232656905447544,10.029772092976302
2025-04-21,5.700776666442481,-2.4700344367741125,7.2997074121917445
2025-04-22,3.869389072506751,-0.47815433128545204,1.346733782576112
2025-04-23,2.7327540171853,-0.41173142916260363,1.0696336172471934
2025-04-24,1.3877931488596102,-0.36307217871425324,-0.09650425804240281
2025-04-25,0.7515908741647979,-0.10209303926491252,0.28953572851098147
2025-04-26,,,-0.3995228931957317
2025-04-27,,-0.9717219919228847,0.40919857818504163
2025-04-28,0.8410439725298032,-3.0406227248543907,1.5557722700145213
2025-04-29,2.0045486338161704,-2.386682256793399,2.7661426263705597
2025-04-30,1.6151986087342114,-0.8014642336774341,1.7837182342884659
2025-05-01,0.6982620054569385,2.975790127203269,-2.308628292789093
2025-05-02,-0.8140414236709769,4.9824491498983186,-2.2132479622067316
2025-05-03,,,0.9973429067996652
2025-05-04,,3.9291026174392396,2.945905074421321
2025-05-05,-0.04787548749714354,-0.6521493511335616,8.890463007037111
2025-05-06,0.6227937211577047,-2.349520552119319,6.336075574988148
2025-05-07,3.0007646026634394,-2.6661994238653786,7.977283830231096
2025-05-08,3.1837781941643057,-2.399878084067299,0.8843075671467227
2025-05-09,3.0946950393941974,-2.1267023144774044,-0.11470661917660388
2025-05-10,,,-0.5425079510296354
2025-05-11,,-3.1583103976521456,-0.5233216766919387
2025-05-12,1.2076708470974151,-0.003088194697870991,0.8637447843649707
2025-05-13,1.1946075536862688,-1.6266150816608156,-0.7011831824290007
2025-05-14,1.4854204293426587,1.5522594473291218,-0.33137811768114545
2025-05-15,0.7442437209070092,-0.505982432148949,2.6359686845097876
2025-05-16,-1.1438071522083058,2.7641672282137075,2.058903956319032
2025-05-17,,,3.4570292140040504
2025-05-18,,2.5722594904921308,2.9525253620641663
2025-05-19,-1.475878606409231,2.331926011946144,5.746021328569782
2025-05-20,-1.7827695760657514,1.936915228745371,0.4517137124951834
2025-05-21,1.3859705239688185,0.5960817990541158,-1.6288283177566099
2025-05-22,0.7551848948664258,1.3848470052083335,-2.3621114147533766
2025-05-23,1.5913455810879413,-1.471242310573608,2.039494722794657
2025-05-24,,,1.0793179400899902
2025-05-25,,-2.576690039091725,-1.1635414924746919
2025-05-26,,-0.20025558985133307,-3.490125921891163
2025-05-27,-0.29903911347422957,0.14509109685577903,-4.588150786178488
2025-05-28,1.0997070953789128,2.3929516747939386,-2.893380257911201
2025-05-29,0.89946844923341,2.21024404995882,0.049345376731720555
2025-05-30,1.0650704200094596,2.155078332654653,1.8139850285913206
2025-05-31,,,0.7563211773512881
2025-06-01,,2.049021925048031,-0.8949946132050558
2025-06-02,-0.00607347288783158,-0.8262995419716488,-3.975833930170792
2025-06-03,0.5518518470538136,-1.5807357068990988,-0.9958969640764495
2025-06-04,0.47241159009963263,-1.8579548888197004,0.8621658184264015
2025-06-05,1.2822853668911083,-1.1227323436619303,3.9968502879437073
2025-06-06,0.27743002270091155,0.5253677574302011,5.651643362677286
2025-06-07,,,4.398364696811818
2025-06-08,,1.4198462697982153,2.7835649627542374
2025-06-09,0.6630936810915833,2.0856930212959544,-3.951048713290502
2025-06-10,-0.9300390121797472,3.108857627482455,-3.7945494429944744
2025-06-11,-0.661578201268993,2.3096446938424835,-2.952318167470933
2025-06-12,-1.9821622303727102,0.17562346831481362,-0.3635748729283658
2025-06-13,-0.8479158690019424,-1.3612929001509704,0.6911129740834108
2025-06-14,,,-0.808941382507362
2025-06-15,,-2.0814115951573324,-0.7074727881844162
2025-06-16,-1.3016854878724635,-1.0869551260330357,-2.0060697263766882
2025-06-17,0.482654313460736,-0.622509828064959,-1.2595584757456173
2025-06-18,1.6370365682443277,-0.10318700730471304,-2.4079732947342793
2025-06-19,,-0.7828193424978142,-3.559255850444054
2025-06-20,1.926143606523558,-1.3709934902083332,2.2218896328202917
2025-06-21,,,3.6823292862256065
2025-06-22,,-1.0506390786695705,6.358686491799899
2025-06-23,1.884845917496961,-0.8009022161793413,1.2834845580347958
2025-06-24,1.3522447312058699,-1.5548203218618935,0.982109942918368
2025-06-25,1.9258527188946526,-2.335362911232733,-0.036955442025359046
2025-06-26,0.8951482571088999,-0.22210656029547188,1.3415801535778527
2025-06-27,0.6819223794156184,1.9019505840548487,0.01906977158148811
2025-06-28,,,-1.5319577488050187
2025-06-29,,2.6202488571728506,0.4342072666666618
